EkspertizAI — Ekspertiz İstasyon Veri Giriş Tablosu,,,,,,,,,,,,,,,,,,,
"⚠ Sarı alanlar zorunludur. | Google Rating: Google Maps puanı (1-5) | Sponsor Seviyesi: 0=Ücretsiz, 1=Basic (500₺/ay), 2=Premium (1000₺/ay)",,,,,,,,,,,,,,,,,,,
Ad *,Franchise,İl *,İlçe *,Adres,Telefon *,Telefon 2,E-posta,Website,Google Maps URL,Google Rating,Enlem,Boylam,"Aktif mi?
(EVET/HAYIR)","Sponsorlu mu?
(EVET/HAYIR)","Sponsor
Seviyesi
(0/1/2)","Sponsor
Başlangıç
(GG.AA.YYYY)","Sponsor
Bitiş
(GG.AA.YYYY)",Notlar,"Google
Place ID"
MUĞLA OTO EKSPERTIZ DYNOBIL,Dynobil,Muğla,Menteşe,"Orhaniye, 143. Sk. no.39, 48000 Menteşe/Muğla, Türkiye",0538 596 56 46,,,,https://maps.google.com/?cid=3129657717490419230&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,2",,,EVET,HAYIR,0,,,,
Karya Ekspertiz,Bağımsız,Muğla,Bodrum,"Çarşı, Atatürk Cd. No:39 D:8, 48400 Bodrum/Muğla, Türkiye",(0252) 363 86 12,,,,https://maps.google.com/?cid=4363134278073800240&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Garantili Arabam Dalaman Oto Ekspertiz,Bağımsız,Muğla,Ortaca,"Yerbelen, 962. Sk. NO:1, 48600 Ortaca/Muğla, Türkiye",0532 666 38 95,,,,https://maps.google.com/?cid=607583517091627007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,1",,,EVET,HAYIR,0,,,,
Oto Ekspertiz,Bağımsız,Muğla,Ortaca,"Yerbelen, Muğla Fethiye Yolu No:231/1, 48600 Ortaca/Muğla, Türkiye",0532 666 38 95,,,,https://maps.google.com/?cid=2190915895472481200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Oto Ekspertiz Fethiye Dynobil,Dynobil,Muğla,Fethiye,"Taşyaka, Şht. Fethi Bey Cd. No:11, 48300 Fethiye/Muğla, Türkiye",0533 156 64 26,,,,https://maps.google.com/?cid=9240816506772088716&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Full Oto Ekspertiz Fethiye,Bağımsız,Muğla,Fethiye,"Taşyaka, Şht. Fethi Bey Cd. No:25, 48300 Fethiye/Muğla, Türkiye",0533 122 48 88,,,,https://maps.google.com/?cid=9704518746555324798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Pilot Garage Fethiye Oto Ekspertiz,Pilot Garage,Muğla,Fethiye,"Taşyaka, 254. Sk. No: 47, 48300 Fethiye/Muğla, Türkiye",0534 486 28 32,,,,https://maps.google.com/?cid=149326294548994110&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Fenomen Oto Ekspertiz,Bağımsız,Muğla,Fethiye,"Taşyaka, 264. Sk. Sanayi Sitesi No: 5, 48300 Fethiye/Muğla, Türkiye",0542 247 48 48,,,,https://maps.google.com/?cid=6095986358701703722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Otorapor Muğla Fethiye Oto Ekspertiz,Otorapor,Muğla,Fethiye,"Taşyaka, Şht. Sadık Bey Cd. No54/A, 48300 Fethiye/Muğla, Türkiye",0543 403 46 48,,,,https://maps.google.com/?cid=2797093985376046891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Otonubil Oto Ekspertiz Fethiye,Bağımsız,Muğla,Fethiye,"Taşyaka, 253. Sk. No:5, 48300 Fethiye/Muğla, Türkiye",0533 577 59 48,,,,https://maps.google.com/?cid=1439654562677617005&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
PİLOT GARAGE OTO EKSPERTİZ FETHİYE BAYİİ,Bağımsız,Muğla,Fethiye,"Taşyaka, 48300 Fethiye/Muğla, Türkiye",,,,,https://maps.google.com/?cid=9937030531958900111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
MUĞLA KURUMSAL OTO EKSPERTİZ,Bağımsız,Muğla,Menteşe,"Orhaniye, 161. Sk. No:10 Blok No:31, 48000 Menteşe/Muğla, Türkiye",0535 474 00 28,,,,https://maps.google.com/?cid=3806966778832460113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Computest Muğla Oto Ekspertiz,Computest,Muğla,Menteşe,"Muslihittin, Cemal Karamuğla Sk. Varol İş Merkezi D:56/A, 48000 Menteşe/Muğla, Türkiye",0555 158 48 48,,,,https://maps.google.com/?cid=8199573031895506430&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
ORTACA OTO EKSPERTİZ,Bağımsız,Muğla,Ortaca,"Karaburun, Atatürk Blv. 5. Sokak No:2, 48600 Ortaca/Muğla, Türkiye",0552 235 35 36,,,,https://maps.google.com/?cid=9417140875396830793&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,9",,,EVET,HAYIR,0,,,,
Dynobil Muğla Milas Oto Ekspertiz,Dynobil,Muğla,Milas,"Emek, Sanayi Cd. :118/1, 48200 Milas/Muğla, Türkiye",0543 749 76 18,,,,https://maps.google.com/?cid=3282757872789576565&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Ortaca Vip Oto Ekspertiz Computest Bayii,Computest,Muğla,Ortaca,"Çaylı, Muğla Fethiye Karayolu, 48600 Ortaca/Muğla, Türkiye",0530 286 79 97,,,,https://maps.google.com/?cid=14219899804267601995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Marmaris Oto Ekspertiz,Bağımsız,Muğla,Marmaris,"çamdibi mah 231 sokak no 4 iç kapı no:z1, Çamdibi, 48700 Marmaris/Muğla, Türkiye",0542 761 48 57,,,,https://maps.google.com/?cid=7391523124906838952&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,3",,,EVET,HAYIR,0,,,,
Milas Experix Oto Ekspertiz,Bağımsız,Muğla,Milas,"Emek, Sanayi Sitesi 4. Cd. No:26, 48200 Milas/Muğla, Türkiye",0506 204 48 51,,,,https://maps.google.com/?cid=12982057967851955549&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,1",,,EVET,HAYIR,0,,,,
Otorapor Milas Oto Ekspertiz,Otorapor,Muğla,Milas,"MİLASHAN OTEL KARŞISI MİLAS, Emek, Halilbey Blv. NO:152/C, 48200 Milas/Muğla, Türkiye",0507 501 50 50,,,,https://maps.google.com/?cid=16164397864152638795&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,6",,,EVET,HAYIR,0,,,,
Marmaris Oto Karne Ekspertiz,Bağımsız,Muğla,Marmaris,"Tepe, 77. Sk., 48700 Marmaris/Muğla, Türkiye",0542 551 62 70,,,,https://maps.google.com/?cid=467825110270365338&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Klas Otomotiv & Klas Oto Ekspertiz,Bağımsız,Muğla,Menteşe,"Salih Paşalar Mevkii, Muğla Aydın Karayolu 11. Km. 241/4, 48000 Menteşe/Muğla, Türkiye",0555 802 00 30,,,,https://maps.google.com/?cid=12768558825286822399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,8",,,EVET,HAYIR,0,,,,
Arabam.com Oto Ekspertiz Milas,Arabam.com Oto Ekspertiz,Muğla,Milas,"Aydınlıkevler, 19 Mayıs Blv. No:73 D:1A-73/1B, 48400 Milas/Muğla, Türkiye",0552 645 31 34,,,,https://maps.google.com/?cid=1452702138935188137&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Otorapor Muğla Ortaca Oto Ekspertiz,Otorapor,Muğla,Ortaca,"Karaburun, 15.Sokak Ata Sanayi Sitesi NO: 20, 48600 Ortaca/Muğla, Türkiye",0540 182 48 48,,,,https://maps.google.com/?cid=5537701323032048562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Seydikemer Oto Ekspertiz,Bağımsız,Muğla,Seydikemer,"Cumhuriyet, İnönü Cd. 133/1, 48360 Seydikemer/Muğla, Türkiye",0546 440 12 46,,,,https://maps.google.com/?cid=16657576453580907096&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Dynobil Muğla Yatağan oto Ekspertiz,Dynobil,Muğla,Yatağan,"Madenler, 1103 Sk. No:14, 48500 Yatağan/Muğla, Türkiye",0530 687 62 95,,,,https://maps.google.com/?cid=519582467053498517&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Pilot Garage Ordu Ata Sanayi Oto Ekspertiz,Pilot Garage,Ordu,Altınordu,"Eskipazar Mah. Ata Sanayi Kümevler 14/4S, Eskipazar, 52000 Altınordu/Ordu, Türkiye",0549 122 61 52,,,,https://maps.google.com/?cid=6190343204584975481&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Ordu Oto Ekspertiz,Bağımsız,Ordu,Altınordu,"Karşıyaka, Şht. Sezer Aydın Sk. No:39, 52200 Altınordu/Ordu, Türkiye",0545 345 45 05,,,,https://maps.google.com/?cid=16456460514979839235&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Auto King - Oto Ekspertiz Ordu,Auto King,Ordu,Altınordu,"Şirinevler, Arif Hikmet Onat Cd. No:24A, 52200 Altınordu/Ordu, Türkiye",0532 479 52 58,,,,https://maps.google.com/?cid=2267147215062114123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Ordu Oto Ekspertiz Experix Kurumsal Oto Ekspertiz,Bağımsız,Ordu,Altınordu,"Şahincili, Zübeyde Hanım Cd. No:282-A, 52200 Altınordu/Ordu, Türkiye",0538 373 13 55,,,,https://maps.google.com/?cid=3982474863160521494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
ORDU OTOEKSPERTİZ,OtoEksper,Ordu,Altınordu,"ŞİRİNEVLER MAH, ROYAL 52 OTEL, Yeni, Turgut Özal Blv. NO:31, 52100 Altınordu/Ordu, Türkiye",0555 052 30 00,,,,https://maps.google.com/?cid=5867443759439615015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Pilot Garage Oto Ekspertiz Ordu,Pilot Garage,Ordu,Altınordu,"Durugöl, 1069. Sk. No:6, 52200 Altınordu/Ordu, Türkiye",0541 369 64 44,,,,https://maps.google.com/?cid=5346587303010349903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Dynomark Ordu Oto Ekspertiz,Bağımsız,Ordu,Altınordu,"Şirinevler, Zübeyde Hanım Cd. No:387/A, 52200 Altınordu/Ordu, Türkiye",0544 204 10 40,,,,https://maps.google.com/?cid=6988930374555781151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Otorapor Ordu Şirinevler Oto Ekspertiz,Otorapor,Ordu,Altınordu,"Şirinevler, Zübeyde Hanım Cd. No:213/A, 52000 Altınordu/Ordu, Türkiye",0532 052 05 39,,,,https://maps.google.com/?cid=9391606102919418111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Umran Oto Ekspertiz - Ordu,Bağımsız,Ordu,Altınordu,"Kayapınar Mah, 1142. Sk. No:2 D:2A, 52200 Altınordu/Ordu, Türkiye",0543 772 84 52,,,,https://maps.google.com/?cid=14832063311803878929&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
DYNOBİL Ordu Oto Ekspertiz,Bağımsız,Ordu,Altınordu,"Şirinevler, Zübeyde Hanım Cd. No:373/A, 52000 Altınordu/Ordu, Türkiye",0541 584 85 15,,,,https://maps.google.com/?cid=2188147042966262454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Otorapor Ordu Ünye Oto Ekspertiz,Otorapor,Ordu,Ünye,"Saraçlı, Akkuş Niksar Cd. No: 247 D, 52300 Ünye/Ordu, Türkiye",0530 735 52 42,,,,https://maps.google.com/?cid=7025720986534385810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
arabam.com Oto Ekspertiz & Trink Sat Alım Noktası Altınordu/Ordu,Arabam.com Oto Ekspertiz,Ordu,Altınordu,"Cumhuriyet, Mustafa Kemal Blv. No: 162/A, 52000 Altınordu/Ordu, Türkiye",0532 489 05 52,,,,https://maps.google.com/?cid=11891566621048164513&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Ordu Oto Ekspertiz Yamanlar,Bağımsız,Ordu,Altınordu,"Şirinevler, Zübeyde Hanım Cd. 363/A, 52000 Altınordu/Ordu, Türkiye",0532 687 77 52,,,,https://maps.google.com/?cid=655626304466403267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Otorapor Ordu Fatsa Oto Ekspertiz,Otorapor,Ordu,Fatsa,"Kurtuluş, Sahil Cad No: 664/A, 52400 Fatsa/Ordu, Türkiye",0532 546 58 52,,,,https://maps.google.com/?cid=2719097979003616708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Pilot Garage Ünye Oto Ekspertiz,Pilot Garage,Ordu,Ünye,"Atatürk Mh, Devlet Sahil Yolu No: 641/A, 52300 Ünye/Ordu, Türkiye",0542 266 00 58,,,,https://maps.google.com/?cid=16398418945488189460&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,6",,,EVET,HAYIR,0,,,,
OTO EKSPERTİZ ORDU,Bağımsız,Ordu,Ordu Merkez,"Karşıyaka, Atatürk Blv. No:112, 52200 Ordu Merkez/Ordu, Türkiye",,,,,https://maps.google.com/?cid=17046418059852286763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
SerpAuto Ekspertiz,Bağımsız,Ordu,Ünye,"Yunus Emre Mahallesi, Akkuş Niksar Caddesi, Sanayi Sitesi No:390 (152,56 km, Kaledere, 52300 Ünye/Ordu, Türkiye",0532 637 57 12,,,,https://maps.google.com/?cid=3857117180366975989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Ordu oto ekspertiz,Bağımsız,Ordu,Ordu Merkez,"Şirinevler, tugut özal bulvarı no 31, 52200 Ordu Merkez/Ordu, Türkiye",0541 735 83 13,,,,https://maps.google.com/?cid=1734984862847924095&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Ordu Oto Ekspertiz Garantili Arabam,Bağımsız,Ordu,Altınordu,"yenimahalle, Atatürk Blv. 283/c, 52200 Altınordu/Ordu, Türkiye",0532 668 42 52,,,,https://maps.google.com/?cid=10861386256365941315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Dynomark Fatsa Oto Ekspertiz,Bağımsız,Ordu,Fatsa,"Kurtuluş mah. Sahil Cad. No:622/a, Kurtuluş, 52400 Fatsa/Ordu, Türkiye",0544 824 51 52,,,,https://maps.google.com/?cid=1658302235989510738&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Mutlular Oto Ekspertiz,Bağımsız,Ordu,Fatsa,"Dolunay Mahallesi 15.Sokak, Dolunay, Büyük Sanayi Sitesi No:12/14, 52400 Fatsa/Ordu, Türkiye",0546 247 57 57,,,,https://maps.google.com/?cid=1247769699745332404&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Garantili Arabam Fatsa Oto Ekspertiz,Bağımsız,Ordu,Fatsa,"Dumlupınar, Sahil Caddesi No:522/A, 52400 Fatsa/Ordu, Türkiye",0537 421 67 52,,,,https://maps.google.com/?cid=16999363996140403076&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Fatsa Pilot Garage Oto Ekspertiz,Pilot Garage,Ordu,Fatsa,"Dumlupınar, sahil cad no 464/B, 52400 Fatsa/Ordu, Türkiye",0552 745 68 52,,,,https://maps.google.com/?cid=15331476198140589322&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Dynobil Fatsa Oto Ekspertiz,Dynobil,Ordu,Fatsa,"Dumlupınar, SAHİL CAD NO:468 A, 52300 Fatsa/Ordu, Türkiye",0543 456 38 42,,,,https://maps.google.com/?cid=2436534117716027139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Yamanlar Fatsa Oto Ekspertiz,Bağımsız,Ordu,Fatsa,"Kurtuluş, Sahil Caddesi No: 548, 52400 Fatsa/Ordu, Türkiye",0543 212 40 22,,,,https://maps.google.com/?cid=15187004043476798857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
RS Ordu Fatsa Oto Ekspertiz,Bağımsız,Ordu,Fatsa,"Dolunay, 15. Sk No:14A, 52400 Fatsa/Ordu, Türkiye",0850 480 0963,,,,https://maps.google.com/?cid=11027784412404693246&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Oto Ekspertiz Fatsa,Bağımsız,Ordu,Fatsa,"Kurtuluş, Sahil Caddesi No:626, 52400 Fatsa/Ordu, Türkiye",0534 988 66 04,,,,https://maps.google.com/?cid=5496725680423028357&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Ünye Dynomark Oto Ekspertiz,Bağımsız,Ordu,Ünye,"Atatürk, Devlet Sahil Yolu Üzeri No:621/A, 52300 Ünye/Ordu, Türkiye",0545 531 62 09,,,,https://maps.google.com/?cid=13484253779473238593&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,,,EVET,HAYIR,0,,,,
PİLOT GARAGE ADAPAZARI MERKEZ HIZIRTEPE OTO EKSPERTİZ,Bağımsız,Sakarya,Adapazarı,"Hızırtepe, Orhan Gazi Cd. Bağlaryapı İş Merkezi No:67/A, 54100 Adapazarı/Sakarya, Türkiye",0505 857 54 54,,,,https://maps.google.com/?cid=1192812710105187358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Otorapor Sakarya Adapazarı Oto Ekspertiz,Otorapor,Sakarya,Adapazarı,"Papuççular, Adnan Menderes Cd. No:56, 54100 Adapazarı/Sakarya, Türkiye",0546 103 10 04,,,,https://maps.google.com/?cid=4664004555084227801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
PİLOT GARAGE SAKARYA ERENLER OTO EKSPERTİZ / EGZOZ MUAYENE,Bağımsız,Sakarya,Erenler,"Erenler, Sakarya Cd No: 342/1, 54200 Erenler/Sakarya, Türkiye",0534 857 44 54,,,,https://maps.google.com/?cid=4183073776295126381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
PİLOT GARAGE ADAPAZARI MERKEZ ZİRAİ ALETLER OTO EKSPERTİZ / EGZOZ EMİSYON ÖLÇÜMÜ/ UTTS MONTAJI,Bağımsız,Sakarya,Adapazarı,"Zirai Aletler San, Tuzla, 1273 Nolu Sk No: 4, 54100 Adapazarı/Sakarya, Türkiye",0542 309 09 54,,,,https://maps.google.com/?cid=10253421028773681863&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
arabam.com Oto Ekspertiz & Trink Sat Alım Noktası Adapazarı/Sakarya,Arabam.com Oto Ekspertiz,Sakarya,Adapazarı,"Hızırtepe, Orhan Gazi Cd. No:85, 54100 Adapazarı/Sakarya, Türkiye",0850 759 9000,,,,https://maps.google.com/?cid=7261409736389041346&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,3",,,EVET,HAYIR,0,,,,
TARCANLAR TUNİNG OTO EKSPERTİZ SAKARYA ADAPAZARI | Sakarya Ekspertiz | Sakarya Oto Ekspertiz,Bağımsız,Sakarya,Adapazarı,"Hızırtepe, Orhan Gazi Cd. no: 81 A, 54100 Adapazarı/Sakarya, Türkiye",0539 319 61 54,,,,https://maps.google.com/?cid=2927850370868295080&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Garantili Arabam Sakarya Adapazarı Oto Ekspertiz,Bağımsız,Sakarya,Adapazarı,"Hızırtepe, Orhan Gazi Cd. No: 63/B, 54100 Adapazarı/Sakarya, Türkiye",0544 802 81 00,,,,https://maps.google.com/?cid=15867296380090450102&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Yamanlar Oto Ekspertiz Sakarya,Bağımsız,Sakarya,Adapazarı,"Maltepe, Orhangazi Cad Gül Apt No:54/C, 54100 Adapazarı/Sakarya, Türkiye",0507 138 54 34,,,,https://maps.google.com/?cid=11957619063038753812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Adapazarı oto ekspertiz pilot garage,Pilot Garage,Sakarya,Adapazarı,"Zirai aletler sanayi sitesi, Tuzla, 1275 nolu sokak no 37, 54000 Adapazarı/Sakarya, Türkiye",0542 309 09 54,,,,https://maps.google.com/?cid=474458475289978944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
UMRAN OTO EKSPERTİZ - ERENLER,Bağımsız,Sakarya,Erenler,"Yeşiltepe, Orhan Gazi Cd. No: 203/1, 54200 Erenler/Sakarya, Türkiye",0530 884 07 54,,,,https://maps.google.com/?cid=967123266414873353&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Auto King - Sakarya Oto Ekspertiz Adapazarı,Auto King,Sakarya,Erenler,"Dilmen, Sakarbaba Cd. No:119, 54200 Erenler/Sakarya, Türkiye",0532 630 16 53,,,,https://maps.google.com/?cid=911559524484237794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,4",,,EVET,HAYIR,0,,,,
